sepal_length,sepal_width,petal_length,petal_width,class,sepal_length_ma_5
1.4,0.06779661,0.2,0.041666667,setosa,0.0
1.4,0.06779661,0.2,0.041666667,setosa,0.0
1.3,0.050847458,0.2,0.041666667,setosa,0.0
1.5,0.084745763,0.2,0.041666667,setosa,0.0
1.4,0.06779661,0.2,0.041666667,setosa,1.4
1.7,0.118644068,0.4,0.125,setosa,1.46
1.4,0.06779661,0.3,0.083333333,setosa,1.46
1.5,0.084745763,0.2,0.041666667,setosa,1.5
1.4,0.06779661,0.2,0.041666667,setosa,1.48
1.5,0.084745763,0.1,0.01,setosa,1.5
1.5,0.084745763,0.2,0.041666667,setosa,1.46
1.6,0.101694915,0.2,0.041666667,setosa,1.5
1.4,0.06779661,0.1,0.01,setosa,1.48
1.1,0.016949153,0.1,0.01,setosa,1.42
1.2,0.033898305,0.2,0.041666667,setosa,1.36
1.5,0.084745763,0.4,0.125,setosa,1.36
1.3,0.050847458,0.4,0.125,setosa,1.3
1.4,0.06779661,0.3,0.083333333,setosa,1.3
1.7,0.118644068,0.3,0.083333333,setosa,1.42
1.5,0.084745763,0.3,0.083333333,setosa,1.48
1.7,0.118644068,0.2,0.041666667,setosa,1.52
1.5,0.084745763,0.4,0.125,setosa,1.56
1.0,0.01,0.2,0.041666667,setosa,1.48
1.7,0.118644068,0.5,0.166666667,setosa,1.48
1.9,0.152542373,0.2,0.041666667,setosa,1.56
1.6,0.101694915,0.2,0.041666667,setosa,1.54
1.6,0.101694915,0.4,0.125,setosa,1.56
1.5,0.084745763,0.2,0.041666667,setosa,1.66
1.4,0.06779661,0.2,0.041666667,setosa,1.6
1.6,0.101694915,0.2,0.041666667,setosa,1.54
1.6,0.101694915,0.2,0.041666667,setosa,1.54
1.5,0.084745763,0.4,0.125,setosa,1.52
4.7,0.627118644,1.4,0.541666667,versicolor,2.16
4.5,0.593220339,1.5,0.583333333,versicolor,2.78
4.9,0.661016949,1.5,0.583333333,versicolor,3.44
4.0,0.508474576,1.3,0.5,versicolor,3.92
4.6,0.610169492,1.5,0.583333333,versicolor,4.54
4.5,0.593220339,1.3,0.5,versicolor,4.5
4.7,0.627118644,1.6,0.625,versicolor,4.54
3.3,0.389830508,1.0,0.375,versicolor,4.22
4.6,0.610169492,1.3,0.5,versicolor,4.34
3.9,0.491525424,1.4,0.541666667,versicolor,4.2
3.5,0.423728814,1.0,0.375,versicolor,4.0
4.2,0.542372881,1.5,0.583333333,versicolor,3.9
4.0,0.508474576,1.0,0.375,versicolor,4.04
4.7,0.627118644,1.4,0.541666667,versicolor,4.06
3.6,0.440677966,1.3,0.5,versicolor,4.0
4.4,0.576271186,1.4,0.541666667,versicolor,4.18
4.5,0.593220339,1.5,0.583333333,versicolor,4.24
